"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"37","262.0348554649964","65.17910702727146","4.957151175206401","-0.30739515329904354","0.02587890625","0.01904296875","0.03271484375","1500","0.00019393217590995008","0","0.00019393217590995008","0.00019393217590995008","37_52:0.025581766579451215;37_38:0.004357481540603503","37_52:660;37_38:660","true"
"38","356.6368527997792","107.27549736895517","4.711513981104618","-0.3116279478812238","0.00830078125","0.0087890625","0.0078125","1500","0.0000983511543017873","0","0.0000983511543017873","0.0000983511543017873","","","true"
"39","452.55552418151194","68.3640253497539","4.648339913737551","-0.312155986798199","0.028076171875","0.03515625","0.02099609375","1500","0.00017157694547408804","0","0.00017157694547408804","0.00017157694547408804","39_38:0.008333454930364692;39_40:0.0057866544162992195","39_38:660;39_40:660","true"
"40","393.5631789677958","133.41127348375034","4.818575811036042","-0.31014676240726335","0.01513671875","0.01416015625","0.01611328125","1500","0.00010641417375337371","0","0.00010641417375337371","0.00010641417375337371","40_41:0.01779651885485778","40_41:660","true"
"41","185.5859250686499","14.633453318347106","4.767515878074923","-0.2887806067242229","0.04248046875","0.02734375","0.0576171875","1500","0.0008303439134461092","0","0.0008303439134461092","0.0008303439134461092","41_42:0.016444846024135762","41_42:660","true"
"42","317.7430651709766","176.2901184915571","4.855225643542961","-0.30893259534444345","0.011474609375","0.01416015625","0.0087890625","1500","0.000145104891817837","0","0.000145104891817837","0.000145104891817837","","","true"
"43","368.99238173975493","199.8407703573309","4.7177104773005984","-0.3107613823150224","0.012451171875","0.01220703125","0.0126953125","1500","0.00010802560648864301","0","0.00010802560648864301","0.00010802560648864301","43_34:0.004324703606844615;43_42:0.004588334248740056","43_34:660;43_42:660","true"
"44","548.4246117305494","72.39694692526794","4.563093374524949","-0.31787632438315244","0.013427734375","0.00732421875","0.01953125","1500","0.00044782307764809794","0","0.00044782307764809794","0.00044782307764809794","44_43:0.008220996631309596","44_43:660","true"
"45","369.77906422931784","332.32719643183657","4.818609841101116","-0.3092514039448694","0.05224609375","0.0361328125","0.068359375","1500","0.00014655779653310918","0","0.00014655779653310918","0.00014655779653310918","45_54:0.005411876440209407;45_44:0.00892276676513376","45_54:660;45_44:660","true"
"46","199.6515622356731","16.76824947937692","4.773444398876154","-0.3043932076142496","0.025146484375","0.013671875","0.03662109375","1500","0.0006700075122023039","0","0.0006700075122023039","0.0006700075122023039","46_45:0.016124112739158314;46_47:0.02401395693670605","46_45:660;46_47:660","true"
"47","383.13209873906084","31.11555873031023","4.693688603986058","-0.3111505616738272","0.041015625","0.025390625","0.056640625","1500","0.00024843786191165436","0","0.00024843786191165436","0.00024843786191165436","47_48:0.008396932158601156","47_48:660","true"
