2025-04-28 18:24:50.236549
QEC Code: 7_1_3
Task: Noise-Free Training for H Gate
Training for 160 data......
 2: ──────────────╰X─│──│─────────────╭X────────│────────────────────╭X─────────│─────────
 3: ───────────╭X────│──│──╭X─────────│─────────│─────────╭X─────────│──────────│─────────
 4: ──H────────│─────│──│──│──────────│─────────│─────────╰●─────────╰●─────────╰●────────
 5: ──H────────│─────│──│──╰●─────────╰●────────╰●─────────RX(-1.41)──RY(4.71)───RZ(-1.73)
 6: ──H────────╰●────╰●─╰●──RX(-3.43)──RY(4.71)──RZ(4.74)─────────────────────────────────
 7: ──H───────────────────────────────────────────────────────────────────────────────────
 8: ──H───────────────────────────────────────────────────────────────────────────────────
 9: ──H───────────────────────────────────────────────────────────────────────────────────
10: ──H───────────────────────────────────────────────────────────────────────────────────
11: ──H───────────────────────────────────────────────────────────────────────────────────
12: ──H───────────────────────────────────────────────────────────────────────────────────

───────────────────────────────────────────────╭X──────────╭X──────────────────────╭Z──────────╭Z───
───RX(2.96)───RY(4.71)───RZ(-4.78)─╭X──────────│───────────│──╭X───────╭Z──────────│───────────│──╭Z
───RX(-4.82)──RY(4.71)───RZ(4.82)──│──╭X───────│──╭X───────│──│────────│──╭Z───────│──╭Z───────│──│─
───RX(-5.21)──RY(4.71)───RZ(3.39)──│──│──╭X────│──│──╭X────│──│──╭X────│──│──╭Z────│──│──╭Z────│──│─
───RX(1.50)───RY(-1.57)──RZ(-1.50)─│──│──│──╭X─│──│──│─────│──│──│─────│──│──│──╭Z─│──│──│─────│──│─
───────────────────────────────────│──│──│──│──│──│──│──╭X─│──│──│─────│──│──│──│──│──│──│──╭Z─│──│─
───────────────────────────────────│──│──│──│──│──│──│──│──│──│──│──╭X─│──│──│──│──│──│──│──│──│──│─
───────────────────────────────────╰●─╰●─╰●─╰●─│──│──│──│──│──│──│──│──│──│──│──│──│──│──│──│──│──│─
───────────────────────────────────────────────╰●─╰●─╰●─╰●─│──│──│──│──│──│──│──│──│──│──│──│──│──│─
───────────────────────────────────────────────────────────╰●─╰●─╰●─╰●─│──│──│──│──│──│──│──│──│──│─
───────────────────────────────────────────────────────────────────────╰●─╰●─╰●─╰●─│──│──│──│──│──│─
───────────────────────────────────────────────────────────────────────────────────╰●─╰●─╰●─╰●─│──│─
───────────────────────────────────────────────────────────────────────────────────────────────╰●─╰●

───────────╭X───────────────────╭Z─────────────────────────╭X†─────────╭X†─────╭●──╭●──┤  State
───────────│──╭X────────────────│──╭Z──────────╭X†─────────│───────────│───╭X†─│───╰X†─┤       
───────────│──│──╭X─────────────│──│──╭Z───────│───╭X†─────│───╭X†─────│───│───╰X†─────┤       
──╭Z───────│──│──│──╭X──────────│──│──│──╭Z────│───│───╭X†─│───│───╭X†─│───│───╭X†─────┤       
──│────────│──│──│──│──╭X───────│──│──│──│──╭Z─╰●──╰●──╰●──│───│───│───│───│───│────H†─┤       
──│────────│──│──│──│──│──╭X────│──│──│──│──│──╭Z──────────╰●──╰●──╰●──│───│───│────H†─┤       
──│──╭Z────│──│──│──│──│──│──╭X─│──│──│──│──│──│───╭Z──────────────────╰●──╰●──╰●───H†─┤       
──│──│───H─│──│──│──│──│──│──│──├○─├●─├●─├●─├●─├○──├○──────────────────────────────────┤       
